display_id,patient,N,n_trials,median_rank,top1,chance_top1,top5,chance_top5,top10,chance_top10,top50,chance_top50,top100,chance_top100
NUE041,AA,5000,339,52.0,0.0707964601769911,0.0002,0.1858407079646017,0.001,0.2654867256637168,0.002,0.495575221238938,0.01,0.6106194690265486,0.02
NUE033,AP,5000,325,154.0,0.0276923076923076,0.0002,0.0707692307692307,0.001,0.1261538461538461,0.002,0.2984615384615384,0.01,0.403076923076923,0.02
NUE044,AZ,5000,753,117.0,0.0278884462151394,0.0002,0.099601593625498,0.001,0.148738379814077,0.002,0.349269588313413,0.01,0.4648074369189907,0.02
NUE030,CP,5000,143,313.0,0.0,0.0002,0.0699300699300699,0.001,0.1328671328671328,0.002,0.2587412587412587,0.01,0.3076923076923077,0.02
NUE045,DR,5000,356,161.5,0.0056179775280898,0.0002,0.0421348314606741,0.001,0.1011235955056179,0.002,0.2331460674157303,0.01,0.3820224719101123,0.02
NUE042,EH,5000,347,174.0,0.0115273775216138,0.0002,0.0461095100864553,0.001,0.1066282420749279,0.002,0.2939481268011527,0.01,0.3861671469740634,0.02
NUE032,EM,5000,491,94.0,0.0427698574338085,0.0002,0.1323828920570264,0.001,0.2057026476578411,0.002,0.4032586558044806,0.01,0.5091649694501018,0.02
NUE047,KAW,5000,443,121.0,0.0248306997742663,0.0002,0.0677200902934537,0.001,0.128668171557562,0.002,0.3476297968397291,0.01,0.4604966139954853,0.02
NUE038,LH,5000,803,112.0,0.0311332503113325,0.0002,0.0933997509339975,0.001,0.149439601494396,0.002,0.3437110834371108,0.01,0.460772104607721,0.02
NUE035,MM,5000,514,143.5,0.0330739299610894,0.0002,0.1050583657587548,0.001,0.1478599221789883,0.002,0.3190661478599221,0.01,0.4299610894941634,0.02
NUE050,PV,5000,462,68.0,0.0454545454545454,0.0002,0.1515151515151515,0.001,0.2121212121212121,0.002,0.4437229437229437,0.01,0.5692640692640693,0.02
NUE031,RB,5000,389,104.0,0.0514138817480719,0.0002,0.1619537275064267,0.001,0.2236503856041131,0.002,0.3933161953727506,0.01,0.4961439588688946,0.02
NUE051,SE,5000,905,99.0,0.0287292817679558,0.0002,0.0939226519337016,0.001,0.1591160220994475,0.002,0.3679558011049724,0.01,0.5060773480662983,0.02
NUE027,VB,5000,282,91.0,0.0638297872340425,0.0002,0.1737588652482269,0.001,0.2375886524822695,0.002,0.4290780141843971,0.01,0.5283687943262412,0.02
NUE036,WBH,5000,1379,113.0,0.0340826686004351,0.0002,0.1094996374184191,0.001,0.1595358955765047,0.002,0.3633067440174039,0.01,0.4742567077592458,0.02
